SF=0.96
Nuisance,+1 sigma,-1 sigma,+1 sigma nuisance,-1 sigma nuisance
Total,0.196,0.173,-,-
FSR,0.180,0.152,0.079,0.081
ISR,0.158,0.143,0.085,0.053
W_d2kappa_EW,0.158,0.143,0.003,0.000
W_d3kappa_EW,0.158,0.143,0.002,0.000
Z_d2kappa_EW,0.158,0.143,0.011,0.009
Z_d3kappa_EW,0.158,0.142,0.009,0.007
d1K_NLO,0.124,0.124,0.097,0.069
d1kappa_EW,0.126,0.124,0.000,0.002
d2K_NLO,0.124,0.124,0.023,0.003
d3K_NLO,0.124,0.124,0.000,0.000
jer,0.124,0.124,0.001,0.004
jes,0.120,0.117,0.034,0.043
jmr,0.120,0.117,0.004,0.000
jms,0.118,0.115,0.022,0.020
lumi,0.115,0.110,0.024,0.032
pdfUnc,0.114,0.110,0.014,0.011
prefiring16,0.114,0.110,0.000,0.000
prefiring17,0.114,0.110,0.005,0.003
puUnc,0.114,0.110,0.005,0.004
trig,0.114,0.112,0.006,0.000
