SF=1.15
Nuisance,+1 sigma,-1 sigma,+1 sigma nuisance,-1 sigma nuisance
Total,0.247,0.216,-,-
FSR,0.229,0.189,0.092,0.104
ISR,0.199,0.177,0.114,0.067
W_d2kappa_EW,0.199,0.176,0.000,0.016
W_d3kappa_EW,0.199,0.176,0.007,0.000
Z_d2kappa_EW,0.199,0.176,0.000,0.009
Z_d3kappa_EW,0.199,0.176,0.009,0.000
d1K_NLO,0.171,0.162,0.103,0.069
d1kappa_EW,0.171,0.162,0.005,0.004
d2K_NLO,0.165,0.159,0.041,0.031
d3K_NLO,0.165,0.159,0.000,0.000
jer,0.165,0.158,0.005,0.011
jes,0.158,0.152,0.047,0.046
jmr,0.158,0.152,0.010,0.002
jms,0.154,0.147,0.035,0.035
lumi,0.146,0.154,0.048,0.000
pdfUnc,0.151,0.146,0.000,0.050
prefiring16,0.151,0.146,0.000,0.000
prefiring17,0.151,0.146,0.006,0.000
puUnc,0.151,0.146,0.009,0.000
trig,0.152,0.143,0.000,0.028
