SF=0.96
Nuisance,+1 sigma,-1 sigma,+1 sigma nuisance,-1 sigma nuisance
Total,0.246,0.208,-,-
FSR,0.117,0.204,0.216,0.043
ISR,0.119,0.964,0.000,0.000
W_d2kappa_EW,0.118,0.964,0.015,0.000
W_d3kappa_EW,0.119,0.964,0.000,0.000
Z_d2kappa_EW,0.117,0.964,0.017,0.000
Z_d3kappa_EW,0.118,0.964,0.000,0.000
d1K_NLO,0.191,0.181,0.000,0.947
d1kappa_EW,0.191,0.186,0.004,0.000
d2K_NLO,0.191,0.181,0.004,0.046
d3K_NLO,0.191,0.181,0.000,0.000
jer,0.191,0.181,0.000,0.006
jes,0.183,0.180,0.053,0.018
jmr,0.183,0.180,0.003,0.000
jms,0.183,0.180,0.007,0.000
lumi,0.181,0.179,0.025,0.019
pdfUnc,0.181,0.178,0.014,0.011
prefiring16,0.181,0.178,0.004,0.003
prefiring17,0.181,0.178,0.000,0.000
puUnc,0.181,0.178,0.005,0.004
trig,0.180,0.178,0.010,0.005
