SF=1.33
Nuisance,+1 sigma,-1 sigma,+1 sigma nuisance,-1 sigma nuisance
Total,0.247,0.206,-,-
FSR,0.229,0.195,0.091,0.066
ISR,0.203,0.185,0.106,0.062
W_d2kappa_EW,0.203,0.185,0.005,0.002
W_d3kappa_EW,0.203,0.185,0.000,0.003
Z_d2kappa_EW,0.203,0.185,0.018,0.014
Z_d3kappa_EW,0.202,0.184,0.013,0.007
d1K_NLO,0.155,0.151,0.130,0.106
d1kappa_EW,0.155,0.151,0.005,0.004
d2K_NLO,0.154,0.151,0.007,0.005
d3K_NLO,0.154,0.151,0.000,0.000
jer,0.155,0.151,0.000,0.003
jes,0.146,0.143,0.050,0.047
jmr,0.145,0.143,0.014,0.003
jms,0.144,0.143,0.022,0.007
lumi,0.140,0.141,0.034,0.025
pdfUnc,0.138,0.140,0.020,0.016
prefiring16,0.138,0.140,0.000,0.000
prefiring17,0.138,0.140,0.000,0.000
puUnc,0.138,0.140,0.002,0.004
trig,0.139,0.139,0.000,0.009
