SF=0.82
Nuisance,+1 sigma,-1 sigma,+1 sigma nuisance,-1 sigma nuisance
Total,0.200,0.160,-,-
FSR,0.181,0.161,0.085,0.000
ISR,0.161,0.155,0.081,0.045
W_d2kappa_EW,0.161,0.155,0.002,0.003
W_d3kappa_EW,0.161,0.155,0.000,0.000
Z_d2kappa_EW,0.161,0.155,0.006,0.005
Z_d3kappa_EW,0.161,0.155,0.005,0.004
d1K_NLO,0.146,0.146,0.069,0.051
d1kappa_EW,0.146,0.146,0.001,0.000
d2K_NLO,0.141,0.143,0.035,0.028
d3K_NLO,0.141,0.143,0.000,0.000
jer,0.141,0.143,0.004,0.003
jes,0.132,0.124,0.052,0.071
jmr,0.126,0.124,0.036,0.000
jms,0.126,0.123,0.014,0.014
lumi,0.124,0.122,0.023,0.017
pdfUnc,0.123,0.122,0.010,0.007
prefiring16,0.123,0.122,0.003,0.002
prefiring17,0.123,0.122,0.000,0.000
puUnc,0.123,0.122,0.006,0.004
trig,0.122,0.122,0.013,0.007
