SF=1.12
Nuisance,+1 sigma,-1 sigma,+1 sigma nuisance,-1 sigma nuisance
Total,0.200,0.162,-,-
FSR,0.183,0.145,0.080,0.073
ISR,0.153,0.132,0.101,0.060
W_d2kappa_EW,0.153,0.132,0.001,0.004
W_d3kappa_EW,0.153,0.132,0.005,0.000
Z_d2kappa_EW,0.152,0.131,0.009,0.009
Z_d3kappa_EW,0.152,0.131,0.003,0.005
d1K_NLO,0.111,0.105,0.104,0.079
d1kappa_EW,0.111,0.105,0.003,0.000
d2K_NLO,0.104,0.099,0.037,0.033
d3K_NLO,0.104,0.099,0.000,0.000
jer,0.104,0.099,0.010,0.009
jes,0.096,0.090,0.040,0.040
jmr,0.094,0.090,0.017,0.011
jms,0.094,0.090,0.005,0.005
lumi,0.090,0.086,0.027,0.024
pdfUnc,0.089,0.086,0.013,0.011
prefiring16,0.089,0.086,0.000,0.000
prefiring17,0.089,0.086,0.000,0.000
puUnc,0.089,0.086,0.001,0.003
trig,0.085,0.083,0.027,0.020
