SF=0.87
Nuisance,+1 sigma,-1 sigma,+1 sigma nuisance,-1 sigma nuisance
Total,0.269,0.233,-,-
FSR,0.265,0.217,0.049,0.082
ISR,0.244,0.213,0.102,0.043
W_d2kappa_EW,0.244,0.213,0.000,0.004
W_d3kappa_EW,0.244,0.213,0.003,0.000
Z_d2kappa_EW,0.244,0.213,0.008,0.005
Z_d3kappa_EW,0.244,0.213,0.003,0.003
d1K_NLO,0.227,0.095,0.091,0.191
d1kappa_EW,0.227,0.207,0.000,0.000
d2K_NLO,0.223,0.205,0.041,0.027
d3K_NLO,0.223,0.205,0.000,0.000
jer,0.223,0.216,0.000,0.000
jes,0.195,0.192,0.108,0.098
jmr,0.195,0.184,0.004,0.054
jms,0.186,0.183,0.058,0.019
lumi,0.185,0.190,0.024,0.000
pdfUnc,0.184,0.190,0.009,0.006
prefiring16,0.184,0.182,0.002,0.053
prefiring17,0.184,0.182,0.000,0.000
puUnc,0.185,0.183,0.000,0.000
trig,0.184,0.190,0.019,0.000
