SF=1.04
Nuisance,+1 sigma,-1 sigma,+1 sigma nuisance,-1 sigma nuisance
Total,0.208,0.174,-,-
FSR,0.192,0.158,0.080,0.073
ISR,0.167,0.150,0.094,0.050
W_d2kappa_EW,0.174,0.150,0.000,0.004
W_d3kappa_EW,0.168,0.150,0.046,0.000
Z_d2kappa_EW,0.167,0.150,0.013,0.000
Z_d3kappa_EW,0.168,0.150,0.000,0.007
d1K_NLO,0.142,0.130,0.090,0.075
d1kappa_EW,0.142,0.130,0.000,0.000
d2K_NLO,0.135,0.126,0.042,0.032
d3K_NLO,0.135,0.126,0.000,0.000
jer,0.135,0.126,0.000,0.000
jes,0.124,0.109,0.053,0.063
jmr,0.123,0.109,0.018,0.004
jms,0.115,0.109,0.044,0.009
lumi,0.112,0.107,0.026,0.019
pdfUnc,0.111,0.107,0.010,0.008
prefiring16,0.111,0.107,0.000,0.000
prefiring17,0.111,0.107,0.000,0.000
puUnc,0.111,0.107,0.002,0.003
trig,0.108,0.105,0.026,0.021
