SF=0.86
Nuisance,+1 sigma,-1 sigma,+1 sigma nuisance,-1 sigma nuisance
Total,0.233,0.198,-,-
FSR,0.217,0.185,0.083,0.072
ISR,0.202,0.180,0.081,0.043
W_d2kappa_EW,0.202,0.180,0.000,0.006
W_d3kappa_EW,0.202,0.180,0.000,0.000
Z_d2kappa_EW,0.201,0.179,0.011,0.006
Z_d3kappa_EW,0.201,0.179,0.008,0.005
d1K_NLO,0.178,0.168,0.093,0.062
d1kappa_EW,0.178,0.168,0.001,0.002
d2K_NLO,0.178,0.168,0.000,0.005
d3K_NLO,0.178,0.168,0.000,0.000
jer,0.178,0.168,0.006,0.009
jes,0.155,0.152,0.088,0.071
jmr,0.155,0.152,0.001,0.004
jms,0.154,0.151,0.015,0.016
lumi,0.153,0.150,0.023,0.016
pdfUnc,0.152,0.150,0.013,0.010
prefiring16,0.152,0.150,0.003,0.000
prefiring17,0.152,0.150,0.000,0.000
puUnc,0.152,0.150,0.010,0.007
trig,0.151,0.150,0.008,0.006
