SF=1.19
Nuisance,+1 sigma,-1 sigma,+1 sigma nuisance,-1 sigma nuisance
Total,0.228,0.187,-,-
FSR,0.200,0.161,0.109,0.094
ISR,0.165,0.144,0.113,0.072
W_d2kappa_EW,0.165,0.144,0.000,0.000
W_d3kappa_EW,0.165,0.144,0.002,0.001
Z_d2kappa_EW,0.165,0.144,0.010,0.008
Z_d3kappa_EW,0.165,0.144,0.005,0.004
d1K_NLO,0.122,0.117,0.111,0.084
d1kappa_EW,0.122,0.117,0.001,0.002
d2K_NLO,0.116,0.113,0.039,0.032
d3K_NLO,0.116,0.113,0.000,0.000
jer,0.115,0.112,0.011,0.008
jes,0.113,0.110,0.023,0.023
jmr,0.113,0.110,0.005,0.005
jms,0.113,0.110,0.003,0.006
lumi,0.109,0.107,0.029,0.024
pdfUnc,0.108,0.106,0.013,0.011
prefiring16,0.108,0.106,0.000,0.000
prefiring17,0.108,0.106,0.008,0.008
puUnc,0.107,0.106,0.006,0.005
trig,0.102,0.102,0.034,0.028
