SF=1.05
Nuisance,+1 sigma,-1 sigma,+1 sigma nuisance,-1 sigma nuisance
Total,0.184,0.149,-,-
FSR,0.164,0.131,0.084,0.070
ISR,0.132,0.118,0.097,0.058
W_d2kappa_EW,0.136,0.118,0.000,0.002
W_d3kappa_EW,0.136,0.118,0.004,0.005
Z_d2kappa_EW,0.132,0.118,0.032,0.006
Z_d3kappa_EW,0.136,0.118,0.000,0.003
d1K_NLO,0.096,0.090,0.096,0.075
d1kappa_EW,0.096,0.090,0.001,0.000
d2K_NLO,0.089,0.085,0.034,0.029
d3K_NLO,0.089,0.085,0.000,0.000
jer,0.089,0.085,0.010,0.008
jes,0.083,0.080,0.032,0.029
jmr,0.081,0.079,0.015,0.010
jms,0.081,0.079,0.005,0.006
lumi,0.077,0.076,0.025,0.023
pdfUnc,0.076,0.075,0.012,0.010
prefiring16,0.076,0.075,0.000,0.000
prefiring17,0.076,0.075,0.000,0.000
puUnc,0.076,0.075,0.000,0.003
trig,0.073,0.073,0.023,0.019
