SF=1.20
Nuisance,+1 sigma,-1 sigma,+1 sigma nuisance,-1 sigma nuisance
Total,0.221,0.189,-,-
FSR,0.207,0.173,0.079,0.075
ISR,0.176,0.155,0.108,0.077
W_d2kappa_EW,0.176,0.155,0.002,0.002
W_d3kappa_EW,0.176,0.155,0.002,0.000
Z_d2kappa_EW,0.176,0.155,0.010,0.009
Z_d3kappa_EW,0.176,0.155,0.004,0.004
d1K_NLO,0.137,0.132,0.109,0.081
d1kappa_EW,0.137,0.132,0.002,0.008
d2K_NLO,0.132,0.128,0.040,0.033
d3K_NLO,0.132,0.128,0.000,0.000
jer,0.131,0.127,0.008,0.006
jes,0.128,0.123,0.031,0.033
jmr,0.127,0.123,0.006,0.004
jms,0.127,0.122,0.013,0.018
lumi,0.123,0.119,0.030,0.024
pdfUnc,0.123,0.119,0.013,0.011
prefiring16,0.123,0.119,0.000,0.000
prefiring17,0.122,0.119,0.008,0.008
puUnc,0.122,0.119,0.006,0.000
trig,0.117,0.115,0.035,0.029
