SF=1.03
Nuisance,+1 sigma,-1 sigma,+1 sigma nuisance,-1 sigma nuisance
Total,0.183,0.151,-,-
FSR,0.169,0.137,0.071,0.062
ISR,0.144,0.124,0.088,0.058
W_d2kappa_EW,0.144,0.124,0.000,0.002
W_d3kappa_EW,0.144,0.124,0.003,0.000
Z_d2kappa_EW,0.144,0.124,0.012,0.010
Z_d3kappa_EW,0.143,0.124,0.010,0.008
d1K_NLO,0.099,0.096,0.103,0.079
d1kappa_EW,0.099,0.096,0.004,0.004
d2K_NLO,0.099,0.096,0.000,0.000
d3K_NLO,0.099,0.096,0.000,0.000
jer,0.099,0.095,0.005,0.003
jes,0.091,0.086,0.040,0.041
jmr,0.090,0.086,0.008,0.002
jms,0.086,0.083,0.027,0.023
lumi,0.082,0.080,0.025,0.021
pdfUnc,0.081,0.079,0.014,0.012
prefiring16,0.081,0.079,0.000,0.000
prefiring17,0.081,0.079,0.000,0.000
puUnc,0.081,0.079,0.002,0.000
trig,0.080,0.079,0.009,0.004
