SF=0.99
Nuisance,+1 sigma,-1 sigma,+1 sigma nuisance,-1 sigma nuisance
Total,0.306,0.140,-,-
FSR,0.291,0.259,0.096,0.000
ISR,0.274,0.254,0.097,0.052
W_d2kappa_EW,0.274,0.254,0.000,0.000
W_d3kappa_EW,0.274,0.254,0.005,0.000
Z_d2kappa_EW,0.274,0.254,0.012,0.008
Z_d3kappa_EW,0.274,0.253,0.009,0.006
d1K_NLO,0.257,0.246,0.095,0.061
d1kappa_EW,0.257,0.246,0.004,0.003
d2K_NLO,0.257,0.246,0.000,0.000
d3K_NLO,0.257,0.246,0.000,0.000
jer,0.257,0.246,0.009,0.010
jes,0.236,0.231,0.102,0.082
jmr,0.236,0.231,0.003,0.012
jms,0.235,0.231,0.017,0.017
lumi,0.233,0.230,0.028,0.016
pdfUnc,0.233,0.230,0.017,0.010
prefiring16,0.233,0.230,0.005,0.003
prefiring17,0.233,0.230,0.000,0.000
puUnc,0.232,0.230,0.014,0.010
trig,0.232,0.229,0.000,0.013
