SF=0.54
Nuisance,+1 sigma,-1 sigma,+1 sigma nuisance,-1 sigma nuisance
Total,0.196,0.169,-,-
FSR,0.186,0.164,0.064,0.039
ISR,0.177,0.162,0.057,0.028
W_d2kappa_EW,0.177,0.162,0.000,0.000
W_d3kappa_EW,0.177,0.162,0.000,0.001
Z_d2kappa_EW,0.177,0.162,0.009,0.004
Z_d3kappa_EW,0.177,0.162,0.002,0.003
d1K_NLO,0.164,0.158,0.065,0.032
d1kappa_EW,0.164,0.158,0.002,0.002
d2K_NLO,0.164,0.158,0.003,0.000
d3K_NLO,0.164,0.158,0.000,0.000
jer,0.164,0.158,0.008,0.009
jes,0.145,0.142,0.077,0.070
jmr,0.145,0.142,0.005,0.009
jms,0.143,0.140,0.022,0.022
lumi,0.142,0.140,0.015,0.009
pdfUnc,0.142,0.140,0.009,0.005
prefiring16,0.142,0.140,0.004,0.002
prefiring17,0.142,0.140,0.000,0.000
puUnc,0.142,0.139,0.009,0.007
trig,0.142,0.139,0.005,0.003
