SF=0.81
Nuisance,+1 sigma,-1 sigma,+1 sigma nuisance,-1 sigma nuisance
Total,0.239,0.196,-,-
FSR,0.206,0.182,0.121,0.072
ISR,0.191,0.177,0.079,0.045
W_d2kappa_EW,0.190,0.177,0.012,0.000
W_d3kappa_EW,0.191,0.176,0.000,0.016
Z_d2kappa_EW,0.190,0.177,0.018,0.000
Z_d3kappa_EW,0.190,0.176,0.005,0.006
d1K_NLO,0.171,0.170,0.082,0.048
d1kappa_EW,0.171,0.170,0.001,0.004
d2K_NLO,0.172,0.170,0.000,0.008
d3K_NLO,0.172,0.170,0.000,0.000
jer,0.171,0.169,0.013,0.014
jes,0.163,0.163,0.052,0.046
jmr,0.163,0.162,0.004,0.010
jms,0.159,0.158,0.035,0.036
lumi,0.165,0.153,0.000,0.041
pdfUnc,0.157,0.158,0.052,0.000
prefiring16,0.157,0.158,0.000,0.000
prefiring17,0.158,0.157,0.000,0.013
puUnc,0.157,0.157,0.009,0.000
trig,0.157,0.158,0.012,0.000
