SF=1.22
Nuisance,+1 sigma,-1 sigma,+1 sigma nuisance,-1 sigma nuisance
Total,0.321,0.132,-,-
FSR,0.296,0.256,0.124,0.000
ISR,0.131,1.219,0.266,0.000
W_d2kappa_EW,0.131,1.219,0.000,0.000
W_d3kappa_EW,0.133,1.219,0.000,0.000
Z_d2kappa_EW,0.132,1.219,0.015,0.000
Z_d3kappa_EW,0.130,1.219,0.020,0.000
d1K_NLO,0.241,0.226,0.000,1.197
d1kappa_EW,0.241,0.226,0.006,0.003
d2K_NLO,0.241,0.226,0.001,0.007
d3K_NLO,0.241,0.226,0.000,0.000
jer,0.241,0.226,0.002,0.009
jes,0.216,0.212,0.107,0.080
jmr,0.215,0.212,0.004,0.002
jms,0.215,0.211,0.008,0.009
lumi,0.213,0.210,0.032,0.023
pdfUnc,0.212,0.210,0.020,0.014
prefiring16,0.212,0.210,0.001,0.001
prefiring17,0.212,0.210,0.000,0.000
puUnc,0.212,0.210,0.002,0.002
trig,0.212,0.210,0.011,0.006
