SF=1.15
Nuisance,+1 sigma,-1 sigma,+1 sigma nuisance,-1 sigma nuisance
Total,0.204,0.168,-,-
FSR,0.190,0.157,0.074,0.060
ISR,0.163,0.142,0.097,0.066
W_d2kappa_EW,0.164,0.142,0.000,0.005
W_d3kappa_EW,0.164,0.142,0.000,0.008
Z_d2kappa_EW,0.163,0.142,0.014,0.009
Z_d3kappa_EW,0.163,0.141,0.011,0.009
d1K_NLO,0.112,0.110,0.118,0.088
d1kappa_EW,0.112,0.110,0.006,0.004
d2K_NLO,0.112,0.110,0.000,0.003
d3K_NLO,0.112,0.110,0.000,0.000
jer,0.112,0.110,0.003,0.004
jes,0.103,0.100,0.045,0.047
jmr,0.102,0.100,0.009,0.004
jms,0.103,0.098,0.000,0.019
lumi,0.096,0.095,0.035,0.024
pdfUnc,0.095,0.094,0.016,0.014
prefiring16,0.095,0.094,0.000,0.000
prefiring17,0.095,0.094,0.000,0.000
puUnc,0.095,0.094,0.003,0.002
trig,0.094,0.094,0.011,0.000
